,prediction,image_id,x_top_left,y_top_left,x_bottom_right,y_bottom_right
0,person,/content/drive/My Drive/Savour/whole/12_041 Sad Party Stock Photos_ Pictures... (3).jpg,249.14788818359375,71.70854187011719,353.15643310546875,323.9460144042969
1,sports ball,/content/drive/My Drive/Savour/whole/12_041 Sad Party Stock Photos_ Pictures... (3).jpg,183.89805603027344,148.4809112548828,236.49765014648438,203.58456420898438
2,couch,/content/drive/My Drive/Savour/whole/12_041 Sad Party Stock Photos_ Pictures... (3).jpg,27.838661193847656,100.46987915039062,585.6268920898438,301.224853515625
3,dog,/content/drive/My Drive/Savour/whole/12_041 Sad Party Stock Photos_ Pictures... (3).jpg,27.925344467163086,86.18201446533203,183.36253356933594,214.12954711914062
4,sports ball,/content/drive/My Drive/Savour/whole/12_041 Sad Party Stock Photos_ Pictures... (3).jpg,400.07171630859375,274.18804931640625,464.15380859375,337.9983215332031
5,dog,/content/drive/My Drive/Savour/whole/12_041 Sad Party Stock Photos_ Pictures... (3).jpg,403.9095458984375,11.450480461120605,553.6736450195312,209.3744659423828
6,bowl,/content/drive/My Drive/Savour/whole/12_041 Sad Party Stock Photos_ Pictures... (3).jpg,201.35789489746094,315.07891845703125,305.761474609375,412.2778015136719
7,person,/content/drive/My Drive/Savour/whole/Holyhead Youth Club entertaining....jpg,36.41897964477539,137.51904296875,255.84519958496094,570.579345703125
8,person,/content/drive/My Drive/Savour/whole/Holyhead Youth Club entertaining....jpg,293.6764221191406,171.47776794433594,556.1864624023438,575.3575439453125
9,cup,/content/drive/My Drive/Savour/whole/Holyhead Youth Club entertaining....jpg,253.0095672607422,301.08306884765625,287.3951416015625,333.3101806640625
10,person,/content/drive/My Drive/Savour/whole/Holyhead Youth Club entertaining....jpg,164.5078582763672,130.43276977539062,397.6116943359375,549.5697631835938
11,cup,/content/drive/My Drive/Savour/whole/Holyhead Youth Club entertaining....jpg,359.96136474609375,350.0838623046875,400.7939758300781,387.0478515625
12,person,/content/drive/My Drive/Savour/whole/Holyhead Youth Club entertaining....jpg,219.63357543945312,128.2694549560547,399.7311706542969,404.4595031738281
13,chair,/content/drive/My Drive/Savour/whole/Holyhead Youth Club entertaining....jpg,498.5477600097656,285.350830078125,599.0,590.4283447265625
14,person,/content/drive/My Drive/Savour/whole/Page 9 _ Royalty-free birthday party....jpg,0.0,94.70443725585938,523.63671875,607.0
15,cake,/content/drive/My Drive/Savour/whole/Page 9 _ Royalty-free birthday party....jpg,452.7254943847656,283.980224609375,710.6248168945312,404.74334716796875
16,person,/content/drive/My Drive/Savour/whole/Page 9 _ Royalty-free birthday party....jpg,781.4132690429688,302.263671875,902.6915893554688,558.8936767578125
17,teddy bear,/content/drive/My Drive/Savour/whole/Page 9 _ Royalty-free birthday party....jpg,542.8088989257812,226.901611328125,589.6031494140625,296.7840881347656
18,chair,/content/drive/My Drive/Savour/whole/Page 9 _ Royalty-free birthday party....jpg,740.1531982421875,375.1717529296875,883.7906494140625,600.0955810546875
19,cake,/content/drive/My Drive/Savour/whole/Page 9 _ Royalty-free birthday party....jpg,454.6402893066406,162.94114685058594,717.5264892578125,406.405517578125
20,person,/content/drive/My Drive/Savour/whole/Page 9 _ Royalty-free birthday party....jpg,421.2414855957031,346.7225341796875,600.7542114257812,601.485107421875
21,person,/content/drive/My Drive/Savour/whole/Page 9 _ Royalty-free birthday party....jpg,218.537353515625,415.0339660644531,449.3070068359375,603.4396362304688
22,person,/content/drive/My Drive/Savour/whole/Page 9 _ Royalty-free birthday party....jpg,799.2664794921875,292.74969482421875,896.4365234375,381.4196472167969
23,person,/content/drive/My Drive/Savour/whole/Party Night in Reykjavik. _ Flickr.jpg,40.616512298583984,152.62313842773438,182.80235290527344,425.64501953125
24,person,/content/drive/My Drive/Savour/whole/Party Night in Reykjavik. _ Flickr.jpg,734.0181884765625,159.9151611328125,780.2937622070312,304.71844482421875
25,person,/content/drive/My Drive/Savour/whole/Party Night in Reykjavik. _ Flickr.jpg,245.66139221191406,130.84423828125,295.8084411621094,272.5567626953125
26,person,/content/drive/My Drive/Savour/whole/Party Night in Reykjavik. _ Flickr.jpg,408.0835266113281,188.11294555664062,431.1805419921875,260.9844055175781
27,person,/content/drive/My Drive/Savour/whole/Party Night in Reykjavik. _ Flickr.jpg,751.871826171875,188.20068359375,808.04541015625,310.6344909667969
28,person,/content/drive/My Drive/Savour/whole/Party Night in Reykjavik. _ Flickr.jpg,647.03515625,148.77732849121094,692.18798828125,289.8778076171875
29,person,/content/drive/My Drive/Savour/whole/Party Night in Reykjavik. _ Flickr.jpg,335.1105041503906,175.74266052246094,359.3251647949219,245.95233154296875
30,person,/content/drive/My Drive/Savour/whole/Party Night in Reykjavik. _ Flickr.jpg,607.9334716796875,164.18092346191406,658.8268432617188,284.30047607421875
31,person,/content/drive/My Drive/Savour/whole/Party Night in Reykjavik. _ Flickr.jpg,986.6570434570312,171.63162231445312,1024.0,357.2923278808594
32,person,/content/drive/My Drive/Savour/whole/Party Night in Reykjavik. _ Flickr.jpg,546.7064208984375,189.95787048339844,589.2806396484375,269.2103271484375
33,person,/content/drive/My Drive/Savour/whole/Party Night in Reykjavik. _ Flickr.jpg,312.2489318847656,177.93826293945312,332.8254089355469,241.35169982910156
34,person,/content/drive/My Drive/Savour/whole/Party Night in Reykjavik. _ Flickr.jpg,658.8433227539062,350.5203552246094,1001.1744995117188,479.20025634765625
35,person,/content/drive/My Drive/Savour/whole/Party Night in Reykjavik. _ Flickr.jpg,289.8013000488281,177.68130493164062,310.70391845703125,244.9167938232422
36,person,/content/drive/My Drive/Savour/whole/Party Night in Reykjavik. _ Flickr.jpg,363.2154235839844,193.26316833496094,381.64703369140625,239.0266571044922
37,person,/content/drive/My Drive/Savour/whole/Party Night in Reykjavik. _ Flickr.jpg,462.5746154785156,194.11114501953125,481.99212646484375,244.45814514160156
38,person,/content/drive/My Drive/Savour/whole/Party Night in Reykjavik. _ Flickr.jpg,503.5779113769531,191.29296875,526.18310546875,253.64683532714844
39,car,/content/drive/My Drive/Savour/whole/Party Night in Reykjavik. _ Flickr.jpg,577.084716796875,193.16554260253906,618.17724609375,256.2073669433594
40,person,/content/drive/My Drive/Savour/whole/Party Night in Reykjavik. _ Flickr.jpg,477.1978759765625,194.0628204345703,491.85595703125,243.56658935546875
41,surfboard,/content/drive/My Drive/Savour/whole/Party Night in Reykjavik. _ Flickr.jpg,39.17131805419922,191.55767822265625,557.082275390625,766.3857421875
